==========================================================================
PROPHET ADVANCED MESSAGE TRANSFER REPORT
==========================================================================
SimTime    | From       | To         | MsgID        | Priority       | Size(B)      | Type
==========================================================================
15.5       | p146       | p418       | E1           | 1 LOW          | 804260       | RELAY
26.5       | p328       | c57        | C1           | 3 MED-HIGH     | 713769       | ABORTED
28.5       | p418       | p146       | B2           | 4 HIGH         | 793779       | RELAY
34.0       | p58        | c68        | A2           | 5 DISTRESS     | 737018       | RELAY
39.5       | p418       | p146       | B3           | 4 HIGH         | 513892       | FINAL DELIVERY
55.5       | c68        | c70        | A2           | 5 DISTRESS     | 737018       | ABORTED
58.0       | p58        | c70        | A2           | 5 DISTRESS     | 737018       | ABORTED
67.0       | p235       | c59        | D4           | 2 MEDIUM       | 637156       | RELAY
69.0       | p413       | c57        | B1           | 4 HIGH         | 859903       | ABORTED
70.5       | p323       | c57        | C5           | 3 MED-HIGH     | 824747       | ABORTED
72.5       | c59        | p59        | D4           | 2 MEDIUM       | 637156       | RELAY
82.0       | p328       | c66        | C1           | 3 MED-HIGH     | 713769       | RELAY
86.5       | p328       | c66        | C7           | 3 MED-HIGH     | 723987       | ABORTED
96.0       | p148       | c51        | E7           | 1 LOW          | 959375       | ABORTED
96.0       | c66        | c60        | C1           | 3 MED-HIGH     | 713769       | ABORTED
98.5       | p328       | c60        | C7           | 3 MED-HIGH     | 723987       | ABORTED
107.0      | p143       | t490       | E4           | 1 LOW          | 909546       | RELAY
110.5      | p52        | c53        | A9           | 5 DISTRESS     | 508811       | RELAY
114.5      | p326       | c72        | C3           | 3 MED-HIGH     | 663336       | RELAY
125.0      | p143       | c61        | E4           | 1 LOW          | 909546       | RELAY
127.0      | p324       | t382       | C10          | 3 MED-HIGH     | 737099       | RELAY
127.5      | t382       | t383       | C10          | 3 MED-HIGH     | 737099       | RELAY
128.0      | t382       | t384       | C10          | 3 MED-HIGH     | 737099       | RELAY
128.0      | p412       | c59        | B8           | 4 HIGH         | 633383       | ABORTED
130.5      | t383       | t385       | C10          | 3 MED-HIGH     | 737099       | RELAY
133.5      | p237       | c65        | D11          | 2 MEDIUM       | 837799       | RELAY
133.5      | t382       | c57        | C10          | 3 MED-HIGH     | 737099       | ABORTED
134.5      | p148       | c51        | E7           | 1 LOW          | 959375       | ABORTED
135.5      | p413       | c60        | B11          | 4 HIGH         | 849516       | ABORTED
136.0      | p323       | c60        | C5           | 3 MED-HIGH     | 824747       | ABORTED
140.5      | p413       | p323       | B1           | 4 HIGH         | 859903       | RELAY
143.0      | p411       | p144       | B7           | 4 HIGH         | 765363       | RELAY
143.5      | t385       | t490       | C10          | 3 MED-HIGH     | 737099       | ABORTED
144.0      | p413       | p323       | B11          | 4 HIGH         | 849516       | RELAY
145.0      | t385       | c61        | C10          | 3 MED-HIGH     | 737099       | ABORTED
146.5      | p141       | c65        | E10          | 1 LOW          | 798297       | ABORTED
146.5      | t383       | t490       | C10          | 3 MED-HIGH     | 737099       | ABORTED
147.5      | p413       | p323       | B9           | 4 HIGH         | 851828       | RELAY
147.5      | t383       | p54        | C10          | 3 MED-HIGH     | 737099       | ABORTED
151.0      | p323       | p413       | C5           | 3 MED-HIGH     | 824747       | RELAY
156.0      | p236       | p239       | D12          | 2 MEDIUM       | 771874       | RELAY
161.5      | p323       | p413       | C14          | 3 MED-HIGH     | 510481       | RELAY
168.0      | t384       | t386       | C10          | 3 MED-HIGH     | 737099       | RELAY
168.5      | t386       | t387       | C10          | 3 MED-HIGH     | 737099       | RELAY
175.0      | t386       | t1098      | C10          | 3 MED-HIGH     | 737099       | ABORTED
178.0      | t385       | c60        | C10          | 3 MED-HIGH     | 737099       | ABORTED
179.5      | p324       | c61        | C10          | 3 MED-HIGH     | 737099       | RELAY
181.0      | p54        | c60        | A15          | 5 DISTRESS     | 685402       | ABORTED
182.0      | t382       | c60        | C10          | 3 MED-HIGH     | 737099       | ABORTED
182.5      | p324       | t490       | C10          | 3 MED-HIGH     | 737099       | RELAY
184.5      | p54        | t382       | A15          | 5 DISTRESS     | 685402       | ABORTED
186.0      | t490       | p324       | E4           | 1 LOW          | 909546       | ABORTED
190.0      | p324       | c60        | C10          | 3 MED-HIGH     | 737099       | ABORTED
195.0      | t387       | t1096      | C10          | 3 MED-HIGH     | 737099       | ABORTED
195.5      | c61        | c60        | C10          | 3 MED-HIGH     | 737099       | ABORTED
199.0      | p416       | c57        | B17          | 4 HIGH         | 781494       | ABORTED
205.0      | p416       | c60        | B17          | 4 HIGH         | 781494       | ABORTED
207.5      | p55        | c53        | A7           | 5 DISTRESS     | 641233       | RELAY
208.0      | p323       | p413       | C18          | 3 MED-HIGH     | 979671       | RELAY
208.5      | p55        | c53        | A12          | 5 DISTRESS     | 852921       | ABORTED
209.5      | c68        | w78        | A2           | 5 DISTRESS     | 737018       | RELAY
212.5      | p59        | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
214.5      | t490       | t491       | C10          | 3 MED-HIGH     | 737099       | RELAY
215.5      | p235       | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
218.5      | p54        | t382       | A15          | 5 DISTRESS     | 685402       | RELAY
